mp3_filename,original_japanese_name,sound_effect_title,description,keywords,category,page_url,zip_download_url,zip_filename,local_file_path,file_size,metadata_source
規制音　銃02-2.mp3,規制音　銃02-2.mp3,規制音　1kHz01,,,Censor Bleep,https://otologic.jp/free/se/censor-bleep01.html,https://otologic.jp/sounds/se/mp3-zip/Censor_Bleep-1kHz01-mp3.zip,Censor_Bleep-1kHz01-mp3.zip,otologic_sounds_smart/Censor Bleep/規制音　1kHz01/規制音　銃02-2.mp3,18264,otologic_sounds_smart/Censor Bleep/規制音　1kHz01/metadata.json
規制音　銃02-3.mp3,規制音　銃02-3.mp3,規制音　1kHz01,,,Censor Bleep,https://otologic.jp/free/se/censor-bleep01.html,https://otologic.jp/sounds/se/mp3-zip/Censor_Bleep-1kHz01-mp3.zip,Censor_Bleep-1kHz01-mp3.zip,otologic_sounds_smart/Censor Bleep/規制音　1kHz01/規制音　銃02-3.mp3,19204,otologic_sounds_smart/Censor Bleep/規制音　1kHz01/metadata.json
規制音　銃02-1.mp3,規制音　銃02-1.mp3,規制音　1kHz01,,,Censor Bleep,https://otologic.jp/free/se/censor-bleep01.html,https://otologic.jp/sounds/se/mp3-zip/Censor_Bleep-1kHz01-mp3.zip,Censor_Bleep-1kHz01-mp3.zip,otologic_sounds_smart/Censor Bleep/規制音　1kHz01/規制音　銃02-1.mp3,16593,otologic_sounds_smart/Censor Bleep/規制音　1kHz01/metadata.json
GB　アクション01-プレビュー.mp3,GB　アクション01-プレビュー.mp3,SNES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/SNES　アクション01/GB　アクション01-プレビュー.mp3,135255,otologic_sounds_smart/Game Action/SNES　アクション01/metadata.json
SNES　アクション01-14(アイテム).mp3,SNES　アクション01-14(アイテム).mp3,SNES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/SNES　アクション01/SNES　アクション01-14(アイテム).mp3,10903,otologic_sounds_smart/Game Action/SNES　アクション01/metadata.json
SNES　アクション01-13(倒す).mp3,SNES　アクション01-13(倒す).mp3,SNES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/SNES　アクション01/SNES　アクション01-13(倒す).mp3,40837,otologic_sounds_smart/Game Action/SNES　アクション01/metadata.json
SNES　アクション01-22(選択).mp3,SNES　アクション01-22(選択).mp3,SNES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/SNES　アクション01/SNES　アクション01-22(選択).mp3,29369,otologic_sounds_smart/Game Action/SNES　アクション01/metadata.json
SNES　アクション01-17(メッセージ).mp3,SNES　アクション01-17(メッセージ).mp3,SNES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/SNES　アクション01/SNES　アクション01-17(メッセージ).mp3,18832,otologic_sounds_smart/Game Action/SNES　アクション01/metadata.json
SNES　アクション01-20(選択).mp3,SNES　アクション01-20(選択).mp3,SNES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/SNES　アクション01/SNES　アクション01-20(選択).mp3,12050,otologic_sounds_smart/Game Action/SNES　アクション01/metadata.json
SNES　アクション01-15(アイテム).mp3,SNES　アクション01-15(アイテム).mp3,SNES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/SNES　アクション01/SNES　アクション01-15(アイテム).mp3,11946,otologic_sounds_smart/Game Action/SNES　アクション01/metadata.json
SNES　アクション01-21(選択).mp3,SNES　アクション01-21(選択).mp3,SNES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/SNES　アクション01/SNES　アクション01-21(選択).mp3,11737,otologic_sounds_smart/Game Action/SNES　アクション01/metadata.json
SNES　アクション01-18(メッセージ).mp3,SNES　アクション01-18(メッセージ).mp3,SNES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/SNES　アクション01/SNES　アクション01-18(メッセージ).mp3,28222,otologic_sounds_smart/Game Action/SNES　アクション01/metadata.json
GB　アクション01-01(ジャンプ).mp3,GB　アクション01-01(ジャンプ).mp3,SNES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/SNES　アクション01/GB　アクション01-01(ジャンプ).mp3,14033,otologic_sounds_smart/Game Action/SNES　アクション01/metadata.json
SNES　アクション01-16(アイテム).mp3,SNES　アクション01-16(アイテム).mp3,SNES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/SNES　アクション01/SNES　アクション01-16(アイテム).mp3,19145,otologic_sounds_smart/Game Action/SNES　アクション01/metadata.json
SNES　アクション01-19(メッセージ).mp3,SNES　アクション01-19(メッセージ).mp3,SNES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/SNES　アクション01/SNES　アクション01-19(メッセージ).mp3,53765,otologic_sounds_smart/Game Action/SNES　アクション01/metadata.json
NES　アクション01-02(ジャンプ).mp3,NES　アクション01-02(ジャンプ).mp3,NES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/NES　アクション01/NES　アクション01-02(ジャンプ).mp3,14033,otologic_sounds_smart/Game Action/NES　アクション01/metadata.json
NES　アクション01-06(投げる).mp3,NES　アクション01-06(投げる).mp3,NES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/NES　アクション01/NES　アクション01-06(投げる).mp3,11529,otologic_sounds_smart/Game Action/NES　アクション01/metadata.json
NES　アクション01-12(アイテム).mp3,NES　アクション01-12(アイテム).mp3,NES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/NES　アクション01/NES　アクション01-12(アイテム).mp3,17268,otologic_sounds_smart/Game Action/NES　アクション01/metadata.json
NES　アクション01-04(ブロック).mp3,NES　アクション01-04(ブロック).mp3,NES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/NES　アクション01/NES　アクション01-04(ブロック).mp3,12364,otologic_sounds_smart/Game Action/NES　アクション01/metadata.json
NES　アクション01-01(ジャンプ).mp3,NES　アクション01-01(ジャンプ).mp3,NES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/NES　アクション01/NES　アクション01-01(ジャンプ).mp3,14450,otologic_sounds_smart/Game Action/NES　アクション01/metadata.json
NES　アクション01-07(当てる).mp3,NES　アクション01-07(当てる).mp3,NES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/NES　アクション01/NES　アクション01-07(当てる).mp3,11007,otologic_sounds_smart/Game Action/NES　アクション01/metadata.json
NES　アクション01-09(アイテム).mp3,NES　アクション01-09(アイテム).mp3,NES　アクション01,,,Game Action,https://otologic.jp/free/se/game-action01.html,https://otologic.jp/sounds/se/mp3-zip/SNES-Shooter02-mp3.zip,SNES-Shooter02-mp3.zip,otologic_sounds_smart/Game Action/NES　アクション01/NES　アクション01-09(アイテム).mp3,14242,otologic_sounds_smart/Game Action/NES　アクション01/metadata.json
