sequential_number,sequential_filename,original_filename,source,original_path,duration_seconds,duration_minutes,csv_path
1,sound_1.mp3,トライアングル03-1(長).mp3,otologic_sounds_smart/Instruments Percussion,otologic_sounds_smart/Instruments Percussion/ビブラスラップ02/トライアングル03-1(長).mp3,16.51612244897959,0.2752687074829932,ビブラスラップ02/トライアングル03-1(長).mp3
2,sound_2.mp3,ビブラスラップ01-7(低　短　リバーブ).mp3,otologic_sounds_smart/Instruments Percussion,otologic_sounds_smart/Instruments Percussion/ビブラスラップ02/ビブラスラップ01-7(低　短　リバーブ).mp3,5.042244897959184,0.0840374149659863,ビブラスラップ02/ビブラスラップ01-7(低　短　リバーブ).mp3
3,sound_3.mp3,ビブラスラップ01-8(低　長　リバーブ).mp3,otologic_sounds_smart/Instruments Percussion,otologic_sounds_smart/Instruments Percussion/ビブラスラップ02/ビブラスラップ01-8(低　長　リバーブ).mp3,7.0718367346938775,0.1178639455782313,ビブラスラップ02/ビブラスラップ01-8(低　長　リバーブ).mp3
4,sound_4.mp3,トライアングル03-2(短).mp3,otologic_sounds_smart/Instruments Percussion,otologic_sounds_smart/Instruments Percussion/ビブラスラップ02/トライアングル03-2(短).mp3,6.628480725623583,0.110474678760393,ビブラスラップ02/トライアングル03-2(短).mp3
5,sound_5.mp3,カウベル01-7(リバーブ).mp3,otologic_sounds_smart/Instruments Percussion,otologic_sounds_smart/Instruments Percussion/カウベル01/カウベル01-7(リバーブ).mp3,5.069138321995465,0.0844856386999244,カウベル01/カウベル01-7(リバーブ).mp3
6,sound_6.mp3,ビブラスラップ01-4(低　長).mp3,otologic_sounds_smart/Instruments Percussion,otologic_sounds_smart/Instruments Percussion/フレクサトーン01/ビブラスラップ01-4(低　長).mp3,5.603673469387755,0.0933945578231292,フレクサトーン01/ビブラスラップ01-4(低　長).mp3
7,sound_7.mp3,フィンガーシンバル02-2(長).mp3,otologic_sounds_smart/Instruments Percussion,otologic_sounds_smart/Instruments Percussion/効果音＞パーカッション/フィンガーシンバル02-2(長).mp3,13.759614512471655,0.2293269085411942,効果音＞パーカッション/フィンガーシンバル02-2(長).mp3
8,sound_8.mp3,フィンガーシンバル02-1(短).mp3,otologic_sounds_smart/Instruments Percussion,otologic_sounds_smart/Instruments Percussion/効果音＞パーカッション/フィンガーシンバル02-1(短).mp3,6.2759183673469385,0.1045986394557823,効果音＞パーカッション/フィンガーシンバル02-1(短).mp3
9,sound_9.mp3,フィンガーシンバル02-3(短).mp3,otologic_sounds_smart/Instruments Percussion,otologic_sounds_smart/Instruments Percussion/効果音＞パーカッション/フィンガーシンバル02-3(短).mp3,6.582040816326531,0.1097006802721088,効果音＞パーカッション/フィンガーシンバル02-3(短).mp3
10,sound_10.mp3,タンバリン04-07(パターン).mp3,otologic_sounds_smart/Instruments Percussion,otologic_sounds_smart/Instruments Percussion/タンバリン05/タンバリン04-07(パターン).mp3,5.988253968253968,0.0998042328042328,タンバリン05/タンバリン04-07(パターン).mp3
