onomatopoeia,onomatopoeia_english
チーン,ding
カラカラ,rattling
ポン,pop
チキチキ,chirp chirp
ピーン,beep
チリチリ,sizzling
ビーン,buzzing
チリチリン,tinkling
ジェンジェン,none (no direct English equivalent; possibly a soft humming or buzzing)
ジェーーーン,none (elongated humming sound)
リーン,ringing
ザー,heavy rain
ウーン,groan
ファー,whoosh
ブーン,drone
ガー,snore
ビービビ,beep beep beep
ビビービビー,beep beep beep beep
ビビビビビ,beep beep beep beep beep
キューンカタカタカタカタザーカタザーカタザーキューン,squeak clatter clatter clatter clatter splash clatter splash clatter splash squeak
キューンザーーーーキューン,Squeeeeeeak
ガタガタ,Rattle
ガサガサ,Rustle
フィーン,Whine
ジリジリ,Sizzle
フィーー,Whee
フィーーンン,Wheeeeen
リンリン,Ring ring
ピポピポビービ,Beep beep beep
サー,Whoosh
ウィーン,Whirr
カチ,Click
ビーーー,Beeeeeeep
ウィーーー,Wheeeeee
サーカチッサー,Whoosh click whoosh
ウィーーパチン,Whee snap
シーシー,Hiss hiss
ジージー,Buzz buzz
ジジジジ,Zzzzzz
ウィンウィン,Whinny whinny
ウァーンウァーーン,Wail
チッチッチ,Beep beep
チチッチチッチ,Beep beep beep
チチチチチチ,Rapid beeping
ドドドドドドド,Thundering rumble
ウィーンウィーン,Whirring
チンチンチン,Ding ding ding
ピーポーピーポー,Siren wail
ウィーーーー,Whiiiiir
ゴーーーー,Roar
ウィンウィンウィン,Whir whir whir
ウィウィウィウィ,Chirp chirp chirp
ピピーピピー,Beep beep
カンカンカンカン,Clang clang clang clang
ウィーンカンカン,Whir clang clang
ウィーンカン,Whir clang
ビーーーー,Buzzzzz
ピピーーーー,Beeeep
ピポピポピポ,Beep boop beep boop
カンカンカン,Clang clang clang
ウィーンカンカンカン,Whirr clang clang
ブワーン,Vroom
フワーン,Floating softly
ブイン,Vroom
ブイーン,Vroom
ピポピ…ピポポ…,Beep beep… beep beep beep…
ピピピ…ポポポ…,Beep beep beep… beep beep beep…
ウィーーーン,Wooooooosh
ピピピピピピピピ,Beep beep beep beep beep beep beep beep
ピンポンパンポン,Ding dong ding dong
ピポパポ,Beep bop
ピポパポピ,Beep bop beep
ファーシャラララ,Whoosh shalala
トゥイーン,Twang
わー,Wow
だ―――,Daah---
たらららら,Tarararara (trilling sound)
ぷしゅーん,Pssshhh
シャンシャン,Clink clink
シャンシャンシャン,Clink clink clink
リンリンリンリン,Ring ring ring ring
リンリンリン,Ring ring ring
さっさっさっ,Step step step
ブー,Buzz
ざー,Ssshhh (rain or static)
ずぃー,Whizz
さぁー,Sigh
ずぁー,Whoosh
しゃりりん,Clink-clank
しゃーん,Ding
カッカッ,Tap tap
かぁーんかんかん,Clang clang clang
