path,total_pairs,clap_success,panns_success,clap_mean,clap_min,clap_max,panns_mean,panns_min,panns_max,fad_score,kda_score
/tmp/tf_101,60,60,60,0.2148,-0.0545,0.4642,2.1714,0.1471,5.3931,11.1901,3.2159
/tmp/tf_109,60,60,60,0.2258,-0.0758,0.4466,2.3428,0.3807,5.5727,11.8841,3.674
/tmp/tf_117,60,60,60,0.2415,-0.0559,0.5655,2.0501,0.1077,6.016,12.8416,3.7878
/tmp/tf_125,60,60,60,0.2229,-0.1306,0.5032,2.2729,0.1636,5.2717,11.5416,4.1458
/tmp/tf_133,60,60,60,0.2143,-0.0944,0.5199,2.1319,0.1879,4.9218,12.1551,4.4085
/tmp/tf_141,60,60,60,0.2041,-0.2218,0.4498,2.1986,0.1707,6.4204,11.2441,3.9652
/tmp/tf_149,60,60,60,0.2162,-0.1343,0.4529,2.1433,0.2259,5.2651,12.9491,4.2512
/tmp/tf_157,60,60,60,0.2002,-0.0696,0.5273,2.0989,0.2002,5.6693,11.9541,3.6455
/tmp/tf_166,60,60,60,0.2244,-0.0184,0.5189,2.3766,0.0941,6.1978,12.5159,4.4282
/tmp/tf_174,60,60,60,0.1994,-0.1692,0.4953,2.2483,0.0804,5.6041,12.5181,4.3254
/tmp/tf_182,60,60,60,0.2232,-0.1797,0.4821,2.0586,0.2989,5.8293,11.4368,3.8611
/tmp/tf_190,60,60,60,0.21,-0.1471,0.5709,2.2919,0.2936,5.3059,12.6984,4.6314
/tmp/tf_198,60,60,60,0.2227,-0.1705,0.4708,2.1398,0.0788,7.0183,12.7086,4.1639
/tmp/tf_206,60,60,60,0.2151,-0.1358,0.4786,2.2021,0.1338,5.1064,12.3001,3.7904
/tmp/tf_214,60,60,60,0.2048,-0.0696,0.5094,2.1468,0.1335,5.5968,12.5199,4.9488
/tmp/tf_222,60,60,60,0.205,-0.1898,0.4572,2.2495,0.3641,5.8554,13.3048,4.2996
/tmp/tf_230,60,60,60,0.2,-0.2034,0.4133,2.4643,0.2209,6.3288,12.0124,4.5088
/tmp/tf_238,60,60,60,0.1866,-0.2369,0.5056,2.1869,0.1841,5.3461,11.9072,4.3928
/tmp/tf_246,60,60,60,0.2016,-0.1061,0.5689,2.1801,0.1809,5.0257,12.3606,4.4753
/tmp/tf_254,60,60,60,0.2144,-0.0448,0.5156,2.2449,0.1447,5.7814,12.7225,4.4178
/tmp/tf_262,60,60,60,0.2029,-0.1066,0.4343,2.2348,0.2795,5.1987,14.6451,5.1915
/tmp/tf_270,60,60,60,0.2138,-0.0941,0.5203,2.266,0.3264,5.4415,12.9095,4.8124
/tmp/tf_278,60,60,60,0.2029,-0.0844,0.4796,2.2601,0.2864,6.6548,13.4379,4.8492
/tmp/tf_287,60,60,60,0.1818,-0.2453,0.5669,2.3866,0.4753,5.1547,12.8878,4.7624
/tmp/tf_295,60,60,60,0.2122,-0.0762,0.4636,2.3413,0.1757,5.6085,12.9527,5.0992
/tmp/tf_303,60,60,60,0.2012,-0.0535,0.5274,2.3218,0.2647,5.0104,12.8483,4.6827
/tmp/tf_311,60,60,60,0.2052,-0.1142,0.5379,2.4062,0.3199,6.2807,14.2575,4.8789
/tmp/tf_319,60,60,60,0.1995,-0.1472,0.4632,2.245,0.2562,5.5346,14.4179,5.3088
/tmp/tf_327,60,60,60,0.1856,-0.0465,0.4787,2.3069,0.3219,5.1443,12.9762,5.6893
/tmp/tf_335,60,60,60,0.183,-0.2293,0.4964,2.4303,0.2726,6.2793,13.0407,5.2746
